h_group_id,h_group_name,x_group_id,x_group_name,n_pdb_reps,n_afdb_reps,pdb_total_cys,afdb_total_cys,pdb_disulfide_pct,pdb_metal_pct,afdb_disulfide_pct,afdb_metal_pct
1001.1,"Formate dehydrogenase/DMSO reductase, domain 1",1001,"Formate dehydrogenase/DMSO reductase, domain 1",31,110,114,428,0.00,55.26,0.00,51.40
1002.1,Fluoride ion channel,1002,Fluoride ion channel,3,244,6,492,0.00,0.00,2.64,0.00
1003.1,CRISPR-associated endonuclease Cas9 wedge domain,1003,CRISPR-associated endonuclease Cas9 wedge domain,4,0,7,0,28.57,0.00,,
1004.1,RNA polymerase sigma-54 factor N-terminal region,1004,RNA polymerase sigma-54 factor N-terminal region,0,2,0,2,,,0.00,0.00
1005.1,Cell-shape determining Csd6 N-terminal dimerization domain,1005,Cell-shape determining Csd6 N-terminal dimerization domain,0,1,0,2,,,0.00,0.00
1006.1,RavZ C-terminal domain,1006,RavZ C-terminal domain,1,0,2,0,0.00,0.00,,
1007.1,SopD C-terminal domain,1007,SopD C-terminal domain,2,0,10,0,10.00,0.00,,
1008.1,BRCC36 C-terminal helical domain,1008,BRCC36 C-terminal helical domain,3,90,7,219,0.00,0.00,6.85,3.20
10.1,Concanavalin A-like,10,jelly-roll,326,2392,1243,9098,63.56,0.00,55.65,0.16
10.10,Lipase/lipooxygenase domain (PLAT/LH2 domain),10,jelly-roll,15,201,37,561,54.05,0.00,33.51,0.00
1010.1,AvrRxo1-ORF2,1010,AvrRxo1-ORF2,1,0,1,0,0.00,0.00,,
10.11,"Thiamin pyrophosphokinase, substrate-binding domain",10,jelly-roll,9,28,17,69,23.53,0.00,13.04,0.00
101.1,HTH,101,HTH,952,18584,1723,39196,2.79,4.82,3.08,4.18
101.10,Hypothetical protein YhaI,101,HTH,1,0,1,0,0.00,0.00,,
101.11,"Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3",101,HTH,2,93,3,168,0.00,0.00,21.43,1.79
1011.1,Monotreme lactating protein,1011,Monotreme lactating protein,1,7,6,35,66.67,0.00,80.00,0.00
101.15,LysM domain,101,HTH,22,254,78,911,85.90,0.00,90.56,0.00
101.17,IHF-like DNA-binding proteins,101,HTH,3,33,3,63,0.00,0.00,3.17,0.00
101.18,DNA-binding domain of TraM protein,101,HTH,0,5,0,10,,,0.00,0.00
101.19,C-terminal subdomain in oxygen-independent coproporphyrinogen III oxidase HemN,101,HTH,0,22,0,31,,,0.00,0.00
10.12,Double-stranded beta-helix,10,jelly-roll,372,3320,1011,12498,7.52,1.88,7.15,2.03
101.21,HTH domain in DNA topoisomerase IV alpha subunit,101,HTH,1,58,1,137,0.00,0.00,0.73,0.00
1012.1,Hsp90 co-chaperone CDC37 C-terminal domain,1012,Hsp90 co-chaperone CDC37 C-terminal domain,1,3,2,5,0.00,0.00,0.00,0.00
101.22,IscX-like (DEPRECATED),101,HTH,2,2,2,2,0.00,0.00,0.00,0.00
101.24,NMB0513-like,101,HTH,1,0,1,0,0.00,0.00,,
101.25,CofE insertion domain,101,HTH,1,51,1,67,0.00,0.00,10.45,0.00
101.26,Tex N-terminal domain,101,HTH,1,27,2,50,0.00,0.00,0.00,0.00
101.28,helical bundles in FlhC-like proteins,101,HTH,0,21,0,45,,,0.00,17.78
101.29,helical bundles in heme iron utilization protein-like,101,HTH,0,2,0,3,,,0.00,0.00
10.13,"Calcium ATPase, transduction domain A",10,jelly-roll,22,421,71,1219,2.82,0.00,1.48,0.00
101.3,XPC-binding domain,101,HTH,1,32,1,91,0.00,0.00,0.00,0.00
101.30,Rv2175c,101,HTH,0,2,0,2,,,0.00,0.00
101.31,Bacteriophage Sf6 terminase small subunit,101,HTH,2,3,3,5,0.00,0.00,0.00,0.00
1013.1,WD repeat-containing protein 48 ancillary domain,1013,WD repeat-containing protein 48 ancillary domain,2,21,8,84,0.00,0.00,0.00,0.00
101.32,bacterioferritin-associated ferredoxin,101,HTH,2,73,10,327,0.00,10.00,0.31,25.38
101.33,Replication foci-targeting sequence C-terminal domain,101,HTH,1,12,5,31,0.00,20.00,6.45,9.68
101.34,Transcription factor LEAFY,101,HTH,1,1,7,6,0.00,0.00,0.00,0.00
101.35,DNA repair regulatory protein RecX,101,HTH,1,154,1,262,0.00,0.00,20.99,2.29
101.36,YetF C-terminal domain,101,HTH,0,3,0,3,,,0.00,0.00
101.38,DNA-binding domain of the replication initiator protein ColE2-Rep,101,HTH,1,3,2,14,0.00,0.00,71.43,14.29
101.39,Replication protein RepB C-terminal domain,101,HTH,0,2,0,2,,,0.00,0.00
10.14,Trp RNA-binding attenuation protein (TRAP),10,jelly-roll,0,1,0,2,,,100.00,0.00
101.4,RPB10,101,HTH,5,69,20,279,25.00,0.00,6.81,0.00
101.40,40S ribosomal protein S13 N-terminal domain,101,HTH,6,13,10,15,0.00,0.00,0.00,0.00
101.41,MRB1590 C-terminal domain,101,HTH,1,2,6,8,0.00,0.00,0.00,0.00
1014.1,AopB,1014,AopB,0,2,0,6,,,0.00,0.00
101.42,CC2 domain in SUN proteins,101,HTH,0,2,0,5,,,0.00,0.00
101.43,Phage G20C small terminase N-terminal domain,101,HTH,0,8,0,12,,,0.00,0.00
101.45,DNA polymerase II large subunit DP2 helical domain,101,HTH,0,15,0,19,,,5.26,0.00
101.46,Parafibromin N-terminal domain,101,HTH,0,15,0,26,,,0.00,0.00
10.15,Smp-1-like,10,jelly-roll,2,63,4,152,0.00,0.00,5.92,0.00
101.5,C-terminal domain of DFF45/ICAD,101,HTH,1,3,1,5,0.00,0.00,0.00,0.00
1015.1,Insulin-induced gene (Insig) homologs,1015,Insulin-induced gene (Insig) homologs,1,55,3,181,0.00,0.00,4.97,0.00
10.16,Jelly-roll domain in membrane penetration protein mu1,10,jelly-roll,2,0,3,0,0.00,0.00,,
101.6,Protein serine/threonine phosphatase 2C-C,101,HTH,0,11,0,18,,,0.00,0.00
1016.1,Dimerization domain in caprin-1 and PAN3,1016,Dimerization domain in caprin-1 and PAN3,8,42,14,96,0.00,0.00,4.17,0.00
10.17,Acetamidase/Formamidase-like,10,jelly-roll,6,19,14,72,0.00,0.00,0.00,0.00
101.7,DEK-C,101,HTH,1,17,1,20,0.00,0.00,0.00,0.00
1017.1,Rrs1,1017,Rrs1,1,16,1,24,0.00,0.00,0.00,0.00
10.18,VPA0735-like,10,jelly-roll,3,12,9,27,11.11,0.00,33.33,0.00
101.8,An anticodon-binding domain of class I aminoacyl-tRNA synthetases,101,HTH,3,161,5,358,0.00,0.00,1.68,8.66
1018.1,Viral structural protein 4 N-terminal domain,1018,Viral structural protein 4 N-terminal domain,1,0,1,0,0.00,0.00,,
1019.1,Ezh2 MCSS domain,1019,Ezh2 MCSS domain,4,9,16,40,0.00,12.50,0.00,5.00
10.2,Nucleoplasmin-like/VP (viral coat and capsid proteins),10,jelly-roll,385,318,1323,1085,12.09,0.00,64.15,0.00
10.20,Jelly-roll domain in cysteine protease,10,jelly-roll,1,18,1,26,0.00,0.00,11.54,0.00
1020.1,Ezh2 N-terminal domain,1020,Ezh2 N-terminal domain,3,4,3,14,0.00,0.00,28.57,0.00
10.21,Jelly-roll domain in ADAMTS13,10,jelly-roll,1,52,3,193,100.00,0.00,98.45,0.00
102.1,SAM/DNA-glycosylase,102,HhH/H2TH,169,3208,422,8727,5.21,8.77,2.65,21.38
1021.1,C-terminal domain in RNA helicases,1021,C-terminal domain in RNA helicases,5,66,7,143,0.00,0.00,2.80,0.00
10.22,DUF1989 family protein,10,jelly-roll,2,12,14,75,0.00,21.43,0.00,14.67
102.2,H2TH,102,HhH/H2TH,31,485,57,801,1.75,0.00,2.50,4.37
1022.1,4Fe-4S binding domain in Dna2 nuclease-helicase,1022,4Fe-4S binding domain in Dna2,1,0,5,0,0.00,40.00,,
1022.2,4Fe-4S protein WhiB1,1022,4Fe-4S binding domain in Dna2,4,12,15,49,0.00,80.00,0.00,71.43
10.23,Jelly-roll domain in outer capsid glycoprotein VP7,10,jelly-roll,2,0,11,0,81.82,0.00,,
102.3,eIF2alpha middle domain,102,HhH/H2TH,3,30,6,49,33.33,0.00,6.12,2.04
1023.1,Cell division protein ZapC N-terminal domain,1023,Cell division protein ZapC N-terminal domain,1,12,2,22,0.00,0.00,9.09,0.00
10.24,Jelly-roll domain in Adenovirus penton base protein,10,jelly-roll,6,0,10,0,60.00,0.00,,
102.4,YozE-like,102,HhH/H2TH,0,4,0,6,,,0.00,33.33
1024.1,CdiI immunity protein,1024,CdiI immunity protein,1,0,2,0,0.00,0.00,,
10.25,Jelly-roll domain in peptidase M60 family,10,jelly-roll,1,7,1,29,0.00,0.00,13.79,0.00
102.5,SAM-like subdomain in Sec63-like proteins,102,HhH/H2TH,8,58,10,94,0.00,0.00,9.57,0.00
1025.1,Stonustoxin helical domain,1025,Stonustoxin helical domain,0,17,0,33,,,12.12,0.00
10.26,Histone H3 binding protein ORF158L,10,jelly-roll,4,2,6,4,0.00,0.00,50.00,0.00
102.6,C-terminal domain in viral ssDNA binding protein,102,HhH/H2TH,2,0,5,0,0.00,0.00,,
1026.1,Rev protein,1026,Rev protein,0,2,0,5,,,0.00,0.00
10.27,Polyhedrin,10,jelly-roll,8,0,30,0,16.67,0.00,,
102.7,Baseplate wedge protein gp7 domain IV,102,HhH/H2TH,0,4,0,7,,,28.57,0.00
1027.1,Outer capsid protein VP2 body domain,1027,Outer capsid protein VP2 body domain,1,0,9,0,0.00,0.00,,
10.28,Jelly-roll domain in Zinc finger protein ZPR1,10,jelly-roll,1,41,1,74,0.00,0.00,13.51,1.35
102.8,UPF0348 protein MJ0951 C-terminal domain,102,HhH/H2TH,2,15,6,28,0.00,0.00,0.00,0.00
1028.1,Nicastrin transmembrane helix,1028,Nicastrin transmembrane helix,1,1,1,2,0.00,0.00,0.00,0.00
10.29,Jelly-roll domain in distal tail protein (Dit)-like proteins,10,jelly-roll,2,4,3,8,0.00,0.00,37.50,0.00
102.9,Cdc45 CID domain,102,HhH/H2TH,5,61,17,94,0.00,0.00,3.19,0.00
1029.1,Pre-mRNA-splicing helicase BRR2 NC-clamp,1029,Pre-mRNA-splicing helicase BRR2 NC-clamp,3,0,3,0,0.00,0.00,,
10.3,TNF-like,10,jelly-roll,21,113,46,254,58.70,0.00,58.66,0.00
10.30,Latrophilin 1 gal_lectin domain,10,jelly-roll,8,118,66,889,100.00,0.00,97.86,0.00
1030.1,Crispr-associated protein Csm2,1030,Crispr-associated protein Csm2,4,6,5,8,0.00,0.00,25.00,0.00
10.31,MopE,10,jelly-roll,1,0,1,0,0.00,0.00,,
103.1,"RuvA-C, UBA, CRAL/TRIO-N, HBS1",103,RuvA-C,38,1141,49,1854,0.00,0.00,3.56,2.21
103.11,RMI1 N-terminal helical domain-related,103,RuvA-C,1,23,1,37,0.00,0.00,5.41,0.00
1031.1,Rifampin phosphotransferase RPH-Lm middle domain,1031,Rifampin phosphotransferase RPH-Lm middle domain,1,12,1,36,0.00,0.00,2.78,0.00
103.12,ANTAR domain,103,RuvA-C,1,26,1,61,0.00,0.00,9.84,8.20
103.13,C-terminal lid domain of glucokinase regulatory protein,103,RuvA-C,3,60,10,103,0.00,0.00,0.00,0.00
103.14,DnaT DNA-binding domain,103,RuvA-C,0,1,0,1,,,0.00,0.00
103.15,Mitoribosomal protein mS23,103,RuvA-C,2,19,2,26,0.00,0.00,0.00,0.00
103.16,C-P lyase subunit PhnI N-terminal domain,103,RuvA-C,0,1,0,1,,,0.00,0.00
103.17,HMG-CoA reductase flap domain,103,RuvA-C,0,5,0,12,,,0.00,0.00
103.18,Phage inhibitor protein,103,RuvA-C,1,1,1,1,0.00,0.00,0.00,0.00
10.32,Galactose-binding domain-like,10,jelly-roll,238,3091,527,9680,43.83,0.00,50.58,0.19
103.2,ATP cone,103,RuvA-C,5,160,8,217,0.00,0.00,0.00,0.00
1032.1,Toxin A (TcdA) helical domain,1032,Toxin A (TcdA) helical domain,2,2,4,10,0.00,0.00,10.00,0.00
10.33,Jelly-roll domain in minor capsid protein,10,jelly-roll,1,1,1,2,0.00,0.00,0.00,0.00
103.3,Tas3 C-terminal helical domains,103,RuvA-C,1,0,1,0,0.00,0.00,,
